City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Parachute, Colorado",Colorado,1513,70.4,18.3,16.8,25.4,20.2,19.3,58910,51.7,269500,1050,8,4
"Park Center, Colorado",Colorado,2544,66.7,31.3,29.0,26.4,7.4,5.9,68882,83.6,337800,1242,2,4
"Parker, Colorado",Colorado,60115,76.6,51.7,13.2,21.9,5.5,7.8,129342,72.2,613200,1973,0,3
"Peetz, Colorado",Colorado,226,73.8,49.6,22.4,11.2,6.4,10.4,39821,86.4,151400,854,5,2
"Pierce, Colorado",Colorado,1102,65.4,31.0,16.4,21.9,15.8,14.8,66313,85.8,295600,1302,2,0
"Platteville, Colorado",Colorado,2924,74.0,27.3,17.2,17.7,19.7,18.1,87642,88.4,376600,1669,2,0
"Poncha Springs, Colorado",Colorado,842,76.8,47.9,19.2,28.7,2.2,2.0,94028,91.1,475600,1188,0,0
"Pritchett, Colorado",Colorado,156,47.8,47.0,18.2,13.6,12.1,9.1,40313,65.7,38300,475,5,2
"Pueblo, Colorado",Colorado,111514,54.9,32.4,21.7,21.7,10.4,13.8,55305,60.8,230900,1020,8,4
"Pueblo West, Colorado",Colorado,34992,60.3,42.5,19.7,16.8,6.7,14.2,95419,86.9,371600,1319,2,0
"Rangely, Colorado",Colorado,2572,64.7,23.4,17.8,25.8,20.6,12.3,75044,80.1,192200,774,4,0
"Raymer (New Raymer), Colorado",Colorado,83,75.0,39.0,0.0,12.2,43.9,4.9,36250,58.1,159400,795,1,6
"Red Cliff, Colorado",Colorado,283,74.4,23.8,20.6,31.9,14.4,9.4,68056,73.8,742600,1450,2,0
"Redlands, Colorado",Colorado,8771,55.7,56.0,14.4,19.5,4.1,6.0,97500,89.9,466400,1546,0,2
"Rico, Colorado",Colorado,392,80.4,53.1,17.4,19.1,10.4,0.0,101250,79.0,545000,1711,0,1
"Ridgway, Colorado",Colorado,1247,74.5,47.9,8.4,23.4,16.6,3.7,88218,55.1,677700,1336,7,1
"Rifle, Colorado",Colorado,10466,79.2,28.2,18.4,20.0,16.2,17.1,80629,70.6,377900,1231,2,0
"Rockvale, Colorado",Colorado,743,44.7,28.5,19.8,12.0,18.6,21.1,48125,87.0,189100,1066,1,4
"Rocky Ford, Colorado",Colorado,3843,49.0,20.0,29.5,16.4,11.8,22.2,35658,65.7,126100,756,3,4
"Romeo, Colorado",Colorado,368,56.2,12.1,19.1,32.5,29.9,6.4,42188,81.9,112500,680,4,4
"Roxborough Park, Colorado",Colorado,9365,68.5,57.3,10.7,21.0,4.1,6.9,167671,96.1,648100,2936,6,7
"Rye, Colorado",Colorado,145,53.8,37.5,5.4,14.3,28.6,14.3,47125,77.5,234700,850,1,4
"Saguache, Colorado",Colorado,554,60.5,34.3,20.6,25.2,19.9,0.0,54609,59.8,112000,782,8,4
"Salida, Colorado",Colorado,5786,65.0,50.7,20.1,17.1,6.0,6.1,69773,59.7,583400,1567,7,1
"Salt Creek, Colorado",Colorado,852,75.3,19.4,17.5,16.9,28.2,17.9,52123,62.0,268200,722,1,4
"Sanford, Colorado",Colorado,1047,60.3,44.7,13.1,27.9,7.5,6.9,41250,72.5,150000,727,5,0
"San Luis, Colorado",Colorado,582,50.3,32.4,18.2,22.2,16.4,10.7,30481,48.5,137500,700,8,4
"Security-Widefield, Colorado",Colorado,38659,66.3,37.3,16.5,19.8,13.2,13.2,83916,83.1,358600,1703,2,0
"Sedgwick, Colorado",Colorado,154,63.2,15.1,19.2,47.9,12.3,5.5,51250,88.2,125000,875,4,9
"Segundo, Colorado",Colorado,149,66.9,34.2,10.1,24.1,5.1,26.6,75982,82.6,139400,1063,2,0
"Seibert, Colorado",Colorado,159,36.4,6.4,27.7,10.6,29.8,25.5,36875,75.4,93300,970,1,6
"Severance, Colorado",Colorado,9302,77.4,54.1,12.2,13.8,10.5,9.4,127257,93.1,493800,2108,0,3
"Shaw Heights, Colorado",Colorado,5309,67.2,30.0,17.4,18.5,18.9,15.2,89125,80.6,452700,1986,2,0
"Sheridan, Colorado",Colorado,6031,64.8,36.3,15.8,20.5,10.0,17.4,58571,56.1,360900,1595,7,0
"Sherrelwood, Colorado",Colorado,19368,68.8,25.8,20.6,20.7,17.7,15.2,73849,69.7,412200,1627,2,4
"Sierra Ridge, Colorado",Colorado,3264,81.4,53.3,12.7,24.7,4.0,5.4,156456,62.5,840300,1487,0,1
"Silt, Colorado",Colorado,3575,78.4,26.0,23.4,18.0,23.2,9.4,86484,74.2,391400,1928,2,0
"Silver Cliff, Colorado",Colorado,783,43.1,28.1,13.2,20.6,32.5,5.7,32083,60.8,261100,979,1,2
"Silver Plume, Colorado",Colorado,206,41.0,76.8,11.0,12.2,0.0,0.0,51458,69.5,477300,966,5,2
"Silverthorne, Colorado",Colorado,4657,83.1,43.4,27.1,9.8,12.6,7.2,114185,78.9,691300,1804,0,3
"Silverton, Colorado",Colorado,613,75.2,40.7,17.0,31.3,7.6,3.4,73750,50.5,414700,1076,7,4
"Snowmass Village, Colorado",Colorado,3048,65.4,50.0,13.4,19.6,6.1,10.9,107559,70.9,1748000,1951,6,3
"South Fork, Colorado",Colorado,615,46.8,32.4,24.4,20.2,18.1,5.0,75938,68.2,381600,874,5,4
"Springfield, Colorado",Colorado,1482,54.5,45.1,17.6,6.7,18.0,12.6,42368,66.5,122600,551,5,2
"Starkville, Colorado",Colorado,94,54.4,24.5,20.4,26.5,0.0,28.6,52500,62.9,87000,972,8,9
"Steamboat Springs, Colorado",Colorado,13341,67.1,51.6,13.0,19.7,10.0,5.7,100156,68.5,874400,1909,0,1
"Sterling, Colorado",Colorado,13273,54.8,27.4,30.0,13.2,9.1,20.2,44242,59.0,205200,1052,3,4
"Stonegate, Colorado",Colorado,9164,77.8,60.0,10.7,20.7,1.9,6.7,157021,92.8,614000,2482,6,3
"Strasburg, Colorado",Colorado,3249,63.5,46.6,7.5,18.5,16.2,11.2,81607,86.0,445100,1177,2,0
"Stratmoor, Colorado",Colorado,6396,66.9,26.6,23.6,21.1,10.0,18.8,62759,65.1,276000,1244,8,4
"Sugar City, Colorado",Colorado,552,53.1,15.0,22.7,23.5,22.7,16.2,45000,71.9,66300,800,4,4
"Superior, Colorado",Colorado,13136,74.6,67.2,8.0,15.2,5.2,4.3,157909,61.7,795500,2355,6,3
"Telluride, Colorado",Colorado,2595,71.0,63.5,10.4,19.3,3.9,2.8,97330,72.4,390300,2269,0,1
"The Pinery, Colorado",Colorado,11740,68.8,60.3,12.4,17.9,3.0,6.3,173889,96.7,709800,3115,6,7
"Thornton, Colorado",Colorado,142878,74.2,38.7,15.9,21.8,10.8,12.8,100985,73.1,482200,1810,2,1
"Timnath, Colorado",Colorado,8007,69.5,63.5,9.6,18.5,3.5,5.0,172206,84.3,717300,2040,6,3
"Trinidad, Colorado",Colorado,8309,57.7,23.5,28.2,24.8,12.3,11.2,50792,63.7,196900,894,8,4
"Twin Lakes CDP (Adams County), Colorado",Colorado,8279,77.9,38.7,13.9,13.7,15.1,18.5,93818,71.6,526700,1608,2,0
"Vail, Colorado",Colorado,4729,71.6,41.9,28.0,18.1,7.5,4.5,103705,68.7,1040100,1610,7,1
"Victor, Colorado",Colorado,414,58.1,19.3,47.4,12.9,19.3,1.2,44914,66.0,193100,939,3,4
"Vilas, Colorado",Colorado,191,50.0,31.9,11.1,8.3,27.8,20.8,30938,62.5,65600,457,1,4
"Vona, Colorado",Colorado,175,76.0,42.9,3.1,14.3,18.4,21.4,70625,69.8,226600,875,2,0
"Walsenburg, Colorado",Colorado,3079,47.1,40.5,29.3,16.1,5.9,8.3,40799,56.9,148600,723,3,4
"Walsh, Colorado",Colorado,403,31.9,15.5,4.5,32.7,30.0,17.3,21711,56.9,82100,272,4,9
"Welby, Colorado",Colorado,16232,70.2,24.5,19.8,21.2,17.3,17.2,78375,74.0,347700,1640,2,4
"Wellington, Colorado",Colorado,11538,74.3,44.5,11.4,21.6,11.7,10.8,103888,81.5,442500,2320,0,3
"Westcliffe, Colorado",Colorado,459,59.8,48.1,15.2,15.2,16.7,4.8,65074,73.5,326000,908,5,2
"Westminster, Colorado",Colorado,115546,73.0,45.4,15.1,20.9,8.4,10.2,96145,63.7,497400,1816,7,1
"West Pleasant View, Colorado",Colorado,5221,65.1,44.7,12.3,18.8,16.9,7.4,89352,59.7,454000,1795,7,1
"Wheat Ridge, Colorado",Colorado,32158,69.6,46.5,14.9,23.3,6.2,9.1,87598,52.4,584700,1493,7,1
"Wiggins, Colorado",Colorado,1202,75.3,39.6,16.0,15.0,14.4,14.9,89948,78.7,322900,1392,2,0
"Wiley, Colorado",Colorado,424,75.7,55.7,11.0,12.7,10.1,10.5,61250,60.7,159400,810,5,2
"Williamsburg, Colorado",Colorado,963,52.0,18.1,29.9,11.8,23.6,16.6,54886,81.3,218300,1327,1,4
"Windsor, Colorado",Colorado,35918,67.3,51.3,13.4,19.3,6.8,9.2,121758,78.3,562300,1780,0,3
"Winter Park, Colorado",Colorado,750,63.7,62.8,15.4,10.2,4.3,7.4,62917,67.7,548300,1654,7,1
"Woodland Park, Colorado",Colorado,7909,59.9,54.9,14.6,10.8,8.4,11.3,96896,76.1,489400,1971,0,3
"Woodmoor, Colorado",Colorado,8819,60.1,59.8,11.3,19.1,5.4,4.5,174138,90.3,702900,2257,6,3
"Wray, Colorado",Colorado,2305,62.8,49.0,16.1,11.7,19.1,4.1,57318,63.9,205900,909,5,2
"Yampa, Colorado",Colorado,342,56.9,34.0,7.2,30.1,15.0,13.7,68750,93.2,317900,1688,2,0
"Yuma, Colorado",Colorado,3427,70.9,36.1,20.7,16.1,8.3,18.8,52102,59.9,180000,943,8,4
"Aberdeen, Idaho",Idaho,2418,71.6,16.0,12.2,18.5,17.1,36.2,67813,81.7,144700,663,9,0
"Albion, Idaho",Idaho,371,58.7,49.0,8.1,11.4,13.4,18.1,73375,83.7,240000,958,5,2
"American Falls, Idaho",Idaho,4636,67.8,30.2,11.8,16.9,21.6,19.4,58376,75.1,172800,710,1,2
"Ammon, Idaho",Idaho,18496,63.8,44.7,17.4,20.6,8.1,9.2,84154,70.4,336500,1175,2,0
"Ashton, Idaho",Idaho,1329,69.0,21.4,24.6,20.0,19.4,14.5,66250,75.4,222300,925,1,4
"Athol, Idaho",Idaho,830,53.7,35.9,14.6,17.6,14.9,17.0,62946,79.3,269600,920,5,2
"Bancroft, Idaho",Idaho,313,61.3,8.7,43.4,20.2,1.2,26.6,76719,88.4,167400,1075,3,4
"Basalt, Idaho",Idaho,511,67.7,16.3,8.8,32.5,25.0,17.5,75375,89.1,300000,1025,4,4
"Bellevue, Idaho",Idaho,2571,70.4,19.6,22.8,26.7,9.6,21.2,72242,71.0,482600,1503,2,0
"Blackfoot, Idaho",Idaho,12628,63.7,30.3,19.0,16.7,14.8,19.2,69091,72.2,225900,798,8,0
"Boise City, Idaho",Idaho,235701,68.6,48.7,15.3,19.6,7.6,8.8,81308,63.0,456000,1359,7,1
"Bonners Ferry, Idaho",Idaho,2615,60.8,21.7,19.3,15.4,23.7,19.9,54107,58.5,272000,1043,8,4
"Buhl, Idaho",Idaho,4624,61.5,20.8,21.8,23.5,24.3,9.5,46217,78.6,192600,1265,4,4
"Burley, Idaho",Idaho,11721,68.5,26.4,18.8,16.9,11.7,26.1,63315,60.6,213700,920,8,4
"Caldwell, Idaho",Idaho,63465,65.3,27.6,20.6,16.9,18.6,16.3,66663,70.7,322100,1135,8,4
"Cambridge, Idaho",Idaho,336,35.8,24.2,17.6,8.8,22.0,27.5,48250,67.5,234700,1010,9,2
"Carey, Idaho",Idaho,1197,64.7,15.0,19.2,10.5,47.7,7.6,50938,77.1,209200,964,1,6
"Cascade, Idaho",Idaho,978,24.7,28.5,27.1,33.3,6.8,4.3,50671,89.5,350000,1065,4,4
"Challis, Idaho",Idaho,794,64.6,36.5,20.0,26.1,9.7,7.7,50034,56.2,168300,635,8,4
"Chubbuck, Idaho",Idaho,15900,65.0,35.9,17.2,27.9,7.6,11.5,78646,74.5,313700,917,2,0
"Clark Fork, Idaho",Idaho,981,58.6,6.7,28.5,27.5,21.1,16.3,60625,58.7,177800,1071,8,4
"Clifton, Idaho",Idaho,774,71.8,21.8,5.8,17.3,29.5,25.8,97750,86.5,286500,692,1,0
"Coeur d'Alene, Idaho",Idaho,55558,62.9,38.4,18.2,25.3,9.5,8.6,70845,59.7,451600,1328,7,0
"Cottonwood, Idaho",Idaho,1138,59.5,23.5,29.2,18.1,12.9,16.3,56250,73.0,206800,942,3,4
"Council, Idaho",Idaho,824,31.9,28.9,23.9,26.4,9.5,11.4,43224,69.5,165600,828,4,4
"Craigmont, Idaho",Idaho,509,51.5,42.3,10.1,24.0,11.1,12.5,56818,88.4,179300,970,5,0
"Culdesac, Idaho",Idaho,394,53.2,22.9,18.7,20.5,6.0,31.9,46250,75.5,149000,915,9,9
"Dalton Gardens, Idaho",Idaho,2526,51.2,42.2,12.4,21.1,13.0,11.2,84375,74.6,673800,838,5,2
"Dayton, Idaho",Idaho,496,58.2,30.7,9.9,27.4,13.2,18.9,86667,95.8,275000,1000,2,0
"Deary, Idaho",Idaho,511,62.5,22.6,6.3,13.7,28.9,28.5,71250,84.9,225400,1000,9,0
"Declo, Idaho",Idaho,514,63.6,28.7,16.5,10.4,24.3,20.0,46780,38.0,218200,1063,8,5
"De Smet, Idaho",Idaho,134,51.3,7.5,35.0,27.5,15.0,15.0,44792,44.8,94200,920,3,4
"Dietrich, Idaho",Idaho,357,59.7,26.2,24.1,6.4,34.8,8.5,71667,84.8,192500,1042,1,6
"Dover, Idaho",Idaho,628,41.3,61.6,11.8,13.3,4.4,8.9,108393,91.3,644400,1141,0,2
"Downey, Idaho",Idaho,736,61.5,32.5,24.3,15.7,8.6,18.9,46000,82.3,153000,893,3,0
"Driggs, Idaho",Idaho,2655,77.1,34.9,22.8,23.3,13.2,5.9,82434,56.8,457800,1160,7,4
"Dubois, Idaho",Idaho,495,60.2,33.5,20.0,14.9,21.9,9.8,48333,66.0,195800,770,1,2
"Eagle, Idaho",Idaho,31490,55.6,53.5,9.7,23.8,6.9,6.0,118037,85.4,711500,1753,0,2
"East Hope, Idaho",Idaho,257,55.7,48.8,27.6,13.8,6.5,3.3,91250,85.8,420800,1250,5,4
"Eden, Idaho",Idaho,366,54.1,23.8,27.9,4.1,26.2,18.0,31346,75.9,140900,795,1,4
"Emmett, Idaho",Idaho,7948,61.3,30.9,15.4,23.8,17.0,12.9,58523,64.6,299000,854,8,4
"Fairfield, Idaho",Idaho,519,49.2,46.1,7.3,12.4,29.2,5.1,77917,63.8,195200,1050,5,2
"Ferdinand, Idaho",Idaho,182,71.8,30.8,11.5,14.4,14.4,28.8,61250,76.2,215400,613,9,0
"Filer, Idaho",Idaho,2837,54.1,25.9,14.0,23.0,19.1,17.9,53508,73.1,224400,1127,4,4
"Firth, Idaho",Idaho,381,54.7,32.7,26.3,14.7,10.9,15.4,49167,58.3,197900,718,3,4
"Fort Hall, Idaho",Idaho,2343,60.5,36.7,25.3,19.2,15.1,3.7,40757,79.9,196000,381,5,4
"Franklin, Idaho",Idaho,880,72.4,29.9,13.8,15.4,19.7,21.3,64375,74.0,318200,1205,2,2
"Fruitland, Idaho",Idaho,6405,62.1,35.7,15.5,18.5,9.9,20.5,62703,73.5,286300,950,2,0
"Garden City, Idaho",Idaho,12483,57.6,40.3,15.9,21.8,9.7,12.2,66859,65.7,411400,1206,5,0
"Genesee, Idaho",Idaho,1312,67.2,45.5,10.6,21.5,10.3,12.2,78125,87.1,298800,1142,2,0
"Georgetown, Idaho",Idaho,735,61.2,26.1,20.6,13.9,19.1,20.3,68438,94.1,180800,1025,1,2
"Glenns Ferry, Idaho",Idaho,1443,53.3,21.7,10.0,20.1,30.7,17.4,51625,65.1,189400,725,1,4
"Gooding, Idaho",Idaho,3731,62.0,27.7,33.3,4.7,13.7,20.6,36889,56.6,175800,869,3,4
"Grace, Idaho",Idaho,1345,62.5,22.2,19.5,10.4,38.9,9.0,69286,85.0,180300,271,1,6
"Grand View, Idaho",Idaho,431,55.6,21.3,24.2,26.4,12.4,15.7,39583,43.4,174100,779,8,4
"Grangeville, Idaho",Idaho,3443,61.9,18.6,32.9,25.8,11.4,11.3,59013,63.3,262000,783,3,4
"Greenleaf, Idaho",Idaho,1152,67.0,27.4,23.7,15.7,17.2,16.0,64375,69.7,339600,1552,8,4
"Groveland, Idaho",Idaho,1204,64.2,42.2,8.6,13.5,19.2,16.5,71268,52.1,362800,1185,7,2
"Hagerman, Idaho",Idaho,1198,44.3,9.4,9.4,26.1,42.6,12.6,59250,84.4,189600,1045,1,4
"Hailey, Idaho",Idaho,9439,74.6,33.4,16.1,26.0,14.3,10.2,83084,72.0,574500,1196,2,0
"Hammett, Idaho",Idaho,258,42.2,20.4,38.8,19.4,0.0,21.4,27482,70.9,160600,1065,3,4
"Hansen, Idaho",Idaho,1414,56.9,17.3,24.8,20.2,15.2,22.5,47396,67.2,178600,724,9,4
"Harrison, Idaho",Idaho,243,53.4,62.1,8.7,17.5,6.8,4.9,95417,86.6,339100,725,5,2
"Hauser, Idaho",Idaho,896,64.7,26.4,20.2,23.3,10.2,20.0,67868,91.2,271700,917,2,0
"Hayden, Idaho",Idaho,16021,57.8,42.4,11.9,24.6,9.4,11.8,77534,79.0,445700,1676,2,0
"Hayden Lake, Idaho",Idaho,901,50.7,51.1,10.9,24.4,6.0,7.5,104500,89.2,706900,2036,0,2
"Hazelton, Idaho",Idaho,988,64.8,15.6,25.6,16.0,23.3,19.4,55833,62.0,148400,635,3,4
"Heyburn, Idaho",Idaho,3678,78.1,27.9,8.0,23.6,8.2,32.4,70078,55.7,205300,1017,9,0
"Hidden Springs, Idaho",Idaho,3490,64.1,56.8,10.9,16.6,6.5,9.2,159439,84.7,683800,2276,0,3
"Hollister, Idaho",Idaho,353,68.8,37.7,11.4,25.1,14.3,11.4,52946,69.5,126000,1022,2,0
"Homedale, Idaho",Idaho,3006,61.1,13.1,21.3,26.2,19.9,19.5,49764,63.3,200000,951,8,4
"Horseshoe Bend, Idaho",Idaho,756,57.4,23.9,18.3,30.6,17.8,9.4,54236,64.4,205300,883,4,4
"Huetter, Idaho",Idaho,219,64.5,3.9,41.9,22.5,20.9,10.9,36719,31.9,271200,855,3,4
"Idaho City, Idaho",Idaho,556,60.1,62.9,24.2,1.6,3.9,7.4,41111,66.3,94500,776,5,2
"Idaho Falls, Idaho",Idaho,66672,65.6,35.1,17.3,22.3,10.0,15.2,69630,64.1,298600,992,8,4
"Inkom, Idaho",Idaho,810,60.7,34.3,14.1,16.3,18.8,16.6,81528,89.0,250500,1036,2,2
"Iona, Idaho",Idaho,2882,68.2,39.3,9.9,27.5,10.6,12.7,83750,92.1,364400,1284,2,0
"Jerome, Idaho",Idaho,12689,68.6,26.3,17.1,14.6,22.3,19.7,65343,72.2,214900,900,1,4
"Juliaetta, Idaho",Idaho,586,54.7,26.0,19.6,21.1,8.7,24.5,54821,68.9,252100,646,9,9
"Kamiah, Idaho",Idaho,1053,40.2,29.8,16.2,20.4,18.0,15.6,35433,63.2,202800,532,5,4
"Kellogg, Idaho",Idaho,2232,57.9,13.5,34.4,26.1,13.7,12.4,44352,50.2,217200,903,3,4
"Kendrick, Idaho",Idaho,324,52.8,26.5,20.4,23.8,6.8,22.4,72708,77.8,179800,954,4,0
"Ketchum, Idaho",Idaho,3551,71.7,37.7,14.7,32.1,6.9,8.7,87658,75.5,756200,1190,2,0
"Kimberly, Idaho",Idaho,4883,72.9,23.3,23.3,30.2,8.0,15.1,76587,80.7,289500,995,4,0
"Kooskia, Idaho",Idaho,683,29.6,18.1,25.6,27.5,1.9,26.9,38167,84.1,174500,758,4,4
"Kootenai, Idaho",Idaho,1076,69.9,22.8,21.0,28.1,16.5,11.6,69457,82.3,306200,1646,2,0
"Kuna, Idaho",Idaho,25960,72.1,39.7,12.5,21.8,12.6,13.4,93545,83.4,403700,1647,2,0
"Lapwai, Idaho",Idaho,1041,58.3,35.1,31.3,21.6,3.6,8.4,60197,60.9,114000,967,3,4
"Lava Hot Springs, Idaho",Idaho,251,53.8,39.3,15.0,13.1,23.4,9.3,36364,58.3,241100,843,5,2
"Lewiston, Idaho",Idaho,34471,60.6,33.2,16.1,23.8,10.0,16.9,71047,70.0,290900,938,8,0
"Lewisville, Idaho",Idaho,489,59.2,32.8,14.8,8.5,20.6,23.3,70417,84.4,228800,800,1,2
"Lincoln, Idaho",Idaho,3759,70.0,38.4,11.1,24.8,13.4,12.3,80818,82.7,307800,1245,2,0
"McCall, Idaho",Idaho,3847,62.7,27.3,17.0,39.8,4.3,11.6,60197,78.6,564500,995,4,9
"McCammon, Idaho",Idaho,910,57.8,35.4,24.7,12.1,12.6,15.2,71397,85.6,238900,875,5,4
"Mackay, Idaho",Idaho,719,26.4,49.1,18.6,7.5,19.9,5.0,41474,75.6,187500,631,5,2
"Malad City, Idaho",Idaho,2441,65.6,36.1,20.0,13.5,11.1,19.3,75500,87.6,210300,965,2,2
"Marsing, Idaho",Idaho,1245,51.8,22.3,12.5,10.6,39.5,15.1,57973,56.6,245000,592,1,4
"Melba, Idaho",Idaho,624,67.3,17.9,26.8,11.3,16.5,27.5,53500,87.5,306000,993,9,4
"Menan, Idaho",Idaho,863,52.7,33.5,16.6,16.9,9.7,23.3,70417,81.6,249300,1313,2,0
"Meridian, Idaho",Idaho,124865,69.7,50.0,12.4,21.7,8.0,7.9,98686,76.1,485000,1714,0,0
"Middleton, Idaho",Idaho,10101,65.3,35.7,13.7,19.6,15.4,15.6,83681,88.7,348900,1077,2,2
"Midvale, Idaho",Idaho,331,32.7,15.9,17.1,26.8,30.5,9.8,48281,86.2,208300,694,4,4
"Montpelier, Idaho",Idaho,2681,58.6,23.8,27.8,18.4,17.1,12.9,52212,79.2,185600,639,3,4
"Moscow, Idaho",Idaho,25868,65.8,44.7,20.1,19.3,7.5,8.5,56497,42.1,352000,902,7,4
"Mountain Home, Idaho",Idaho,16265,62.2,24.5,21.3,21.7,12.1,20.4,58486,66.4,270700,1061,8,4
"Moyie Springs, Idaho",Idaho,1420,44.7,29.5,33.9,13.5,13.5,9.7,61783,67.6,326200,733,3,4
"Mud Lake, Idaho",Idaho,516,64.6,32.3,15.0,16.4,25.0,11.4,65000,53.2,160700,1053,8,4
"Mullan, Idaho",Idaho,758,52.7,22.0,29.6,14.5,25.7,8.2,51094,81.3,169000,936,1,4
"Nampa, Idaho",Idaho,106289,66.2,29.7,19.5,23.0,12.5,15.2,72122,71.4,332500,1340,2,0
"Newdale, Idaho",Idaho,515,58.3,27.9,16.6,12.6,34.0,8.9,71250,97.3,291700,1375,1,6
"New Meadows, Idaho",Idaho,311,77.1,21.7,8.7,25.0,19.6,25.0,65250,58.8,275000,933,8,0
"New Plymouth, Idaho",Idaho,1863,61.8,27.1,25.7,28.7,9.2,9.3,59875,69.0,199200,988,4,4
"Nezperce, Idaho",Idaho,537,45.9,29.2,15.2,17.5,23.4,14.6,59063,82.4,176200,500,1,4
"Notus, Idaho",Idaho,709,68.4,27.0,8.7,25.9,25.0,13.4,71083,79.6,242600,1170,2,0
"Oakley, Idaho",Idaho,846,63.6,35.1,4.8,20.7,24.1,15.3,93333,94.0,220000,642,2,0
"Oldtown, Idaho",Idaho,572,64.0,16.8,29.6,22.1,17.3,14.2,58088,46.1,260700,848,8,4
"Orofino, Idaho",Idaho,3254,44.5,30.6,20.4,19.5,10.9,18.7,57171,75.9,218900,892,5,4
"Osburn, Idaho",Idaho,1728,59.5,28.7,22.1,12.7,31.4,5.2,44583,81.8,182800,794,1,6
"Paris, Idaho",Idaho,634,58.0,36.8,15.9,9.2,13.8,24.3,82500,91.3,235700,862,9,2
"Parker, Idaho",Idaho,643,62.8,24.3,11.4,13.7,37.3,13.3,72188,76.5,249500,1135,1,6
"Parma, Idaho",Idaho,1836,55.0,19.6,16.2,19.9,21.9,22.5,47798,66.0,232400,955,9,4
"Paul, Idaho",Idaho,1615,58.3,19.5,21.5,9.1,15.9,33.9,62830,73.3,251200,788,9,5
"Payette, Idaho",Idaho,8358,55.6,23.0,15.0,12.5,17.0,32.4,55455,55.0,247700,846,9,4
"Peck, Idaho",Idaho,187,48.7,32.9,10.0,7.1,24.3,25.7,55455,85.9,154200,850,1,0
"Pierce, Idaho",Idaho,465,49.3,43.9,15.6,8.3,14.1,18.0,53125,95.6,171700,850,5,2
"Pinehurst, Idaho",Idaho,2014,57.0,28.5,20.4,14.1,18.2,18.9,66447,80.6,267100,833,1,2
"Plummer, Idaho",Idaho,1055,66.4,24.1,29.0,24.7,8.5,13.7,52188,60.5,163800,934,8,4
"Pocatello, Idaho",Idaho,57152,62.7,39.8,18.9,20.3,7.9,13.1,57931,63.1,240600,861,8,4
"Ponderay, Idaho",Idaho,1456,62.5,15.2,22.2,39.6,10.2,12.8,50119,30.7,391700,988,8,4
"Post Falls, Idaho",Idaho,41716,62.8,32.8,21.7,21.5,9.5,14.5,73313,66.0,425100,1313,8,0
"Potlatch, Idaho",Idaho,849,67.6,46.4,10.7,12.9,16.6,13.4,68889,86.8,226100,935,2,2
"Preston, Idaho",Idaho,5800,59.7,22.3,26.1,13.1,5.1,33.3,55625,68.2,280500,794,9,5
"Priest River, Idaho",Idaho,2058,51.5,20.7,28.8,14.7,13.7,22.1,57712,72.4,271500,748,3,4
"Rathdrum, Idaho",Idaho,10133,68.6,26.3,12.0,24.3,20.9,16.5,86431,78.8,381800,1412,2,0
"Rexburg, Idaho",Idaho,39589,68.5,31.2,30.7,23.6,6.6,7.9,50359,23.5,384000,959,8,4
"Richfield, Idaho",Idaho,558,66.3,37.1,13.8,8.9,14.7,25.4,59375,76.3,196100,731,9,0
"Rigby, Idaho",Idaho,5251,65.4,50.6,10.3,14.0,15.6,9.4,78278,65.3,267200,1035,5,2
"Riggins, Idaho",Idaho,236,35.8,52.3,6.2,10.8,20.0,10.8,51250,58.5,347300,667,5,2
"Ririe, Idaho",Idaho,958,74.8,33.5,17.1,27.6,9.0,12.8,64273,81.9,129900,1063,2,0
"Roberts, Idaho",Idaho,534,65.5,18.3,20.0,14.3,26.5,20.9,57083,59.8,154200,481,1,4
"Rupert, Idaho",Idaho,6157,63.2,21.0,15.1,12.9,21.4,29.7,54444,68.0,182500,835,9,4
"St. Anthony, Idaho",Idaho,3818,50.0,27.8,15.1,18.6,20.7,17.8,52446,70.2,199600,729,1,4
"St. Maries, Idaho",Idaho,3032,57.3,23.5,19.1,14.3,18.4,24.8,52468,68.6,205400,859,9,4
"Salmon, Idaho",Idaho,3196,55.0,21.0,22.4,21.8,16.8,17.9,40875,66.0,198400,584,8,4
"Sandpoint, Idaho",Idaho,9244,60.1,47.8,18.1,17.4,5.2,11.5,67769,55.9,449500,1047,7,4
"Shelley, Idaho",Idaho,4987,71.5,32.2,11.3,22.7,14.9,18.9,63864,69.4,267200,1212,2,0
"Shoshone, Idaho",Idaho,1985,66.5,27.9,19.3,28.2,10.0,14.7,56050,69.4,187800,898,4,4
"Smelterville, Idaho",Idaho,670,60.4,10.9,37.9,11.8,23.1,16.3,46597,79.2,117600,825,3,4
"Soda Springs, Idaho",Idaho,3150,65.8,22.6,21.8,16.8,27.9,10.9,47480,75.1,204800,826,1,2
"Spirit Lake, Idaho",Idaho,1768,60.9,32.0,17.3,21.5,20.6,8.7,60938,85.8,380800,1003,2,4
"Star, Idaho",Idaho,13231,63.9,34.1,19.9,21.2,15.2,9.5,91318,79.5,498900,1622,2,0
"Stites, Idaho",Idaho,171,34.6,13.2,32.1,13.2,26.4,15.1,29583,91.1,117600,725,3,4
